datetime,http_user_agent,uniq_id,path,cresp_country,cresp_asn,cresp_subnet,bot_type
2026-05-25 19:30:48.888000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",mUm4wuUGceA1,/press-center/zashhita-veb-prilozhenij,US,8075,23.96.0.0/14,ChatGPT-User
2026-05-25 20:02:17.930000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",H2nG0jnvviE1,/waf,BE,8075,9.160.0.0/16,ChatGPT-User
2026-05-27 16:09:45.854000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",j9lkkaeHC0U1,/press-center/pochemu_rastet_rinok_bezopasnoy_razrabotki_softa,PL,8075,20.192.0.0/10,ChatGPT-User
2026-05-27 16:05:51.285000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",p5lXtiCvkmI1,/blog/behavioral-factors-cheating,PL,8075,20.192.0.0/10,ChatGPT-User
2026-05-27 16:11:47.099000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",lBlwT8hHBGk1,/blog/good-and-bad-bots,PL,8075,20.192.0.0/10,ChatGPT-User
2026-05-27 16:21:37.463000000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.4; +https://openai.com/searchbot",bLlo0TtH40U1,/antibot,US,8075,74.7.0.0/16,OAI-SearchBot
2026-05-20 17:17:40.674000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",eHf1To8q1Os1,/press-center/chem_grozit_biznesu_otkaz_ot_servisov_cloudflare,US,8075,20.160.0.0/12,ChatGPT-User
2026-05-29 22:22:04.341000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",4MtCrHq9QOs1,/web-ddos-protection,US,8075,172.128.0.0/10,ChatGPT-User
2026-05-29 21:48:04.897000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",4msh5A79bKo1,/blog/behavioral-factors-cheating,PL,8075,20.192.0.0/10,ChatGPT-User
2026-05-29 21:46:56.266000000,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",uks4NDDYb8c1,/ip-transit,PL,8075,20.192.0.0/10,ChatGPT-User
